"","pLabel","design","GWR","BRF","CF"
"1","4.16","LatSqHi",2.91,7.03,4.13
"2","4.16","LatSqRtJump",2.94,6.63,4.5
"3","4.16","LatSqLo",2.95,7.69,4.68
"4","4.16","StrPatHi",3.04,7.08,3.96
"5","4.16","GridBlockRd",3.26,7.46,5.01
"6","4.16","GridPatHi",3.41,7.37,5.7
"7","4.16","StrBlockRd",3.52,8.09,4.65
"8","4.16","GridPatLo",3.58,6.68,5.54
"9","4.16","StrPatLo",3.82,8.74,5.3
"10","4.16","GridCompRd",4.37,8.32,5.71
"11","4.16","Wave",4.45,15.92,15.17
"12","4.16","Cascade",5.41,9.71,6.05
"13","4.16","StrCompRd",6.64,10.33,6.58
"14","6.56","LatSqHi",3.53,10.69,4.15
"15","6.56","LatSqRtJump",3.54,10.14,4.12
"16","6.56","LatSqLo",3.56,11.58,4.35
"17","6.56","StrPatHi",3.64,10.79,4.16
"18","6.56","GridBlockRd",3.77,11.24,4.76
"19","6.56","GridPatHi",4.03,10.97,5.44
"20","6.56","GridPatLo",4.09,9.97,4.79
"21","6.56","StrPatLo",4.12,12.34,4.56
"22","6.56","StrBlockRd",4.15,11.95,4.47
"23","6.56","Wave",4.58,23.82,11.04
"24","6.56","GridCompRd",4.85,12.61,5.63
"25","6.56","Cascade",5.49,13.75,5.16
"26","6.56","StrCompRd",6.94,14.33,6.71
"27","10.35","Wave",5.65,32.05,13.08
"28","10.35","LatSqLo",5.81,16.32,3.92
"29","10.35","LatSqRtJump",5.81,14.49,4.04
"30","10.35","StrPatLo",5.82,16.93,4.33
"31","10.35","LatSqHi",5.82,15.7,4.14
"32","10.35","GridBlockRd",5.88,15.74,4.44
"33","10.35","StrPatHi",5.89,15.49,4.24
"34","10.35","GridPatLo",6.06,14.42,4.11
"35","10.35","GridPatHi",6.29,15.75,4.67
"36","10.35","StrBlockRd",6.47,16.85,4.49
"37","10.35","Cascade",6.52,18.72,4.53
"38","10.35","GridCompRd",6.77,17.59,5.52
"39","10.35","StrCompRd",9.19,19.74,6.43
